"ROW_ID","ROW_VERSION","ROW_ETAG","id","name","study","dataType","assay","organ","tissue","species","sex","consortium","grant","modelSystemName","treatmentType","specimenID","individualID","individualIdSource","specimenIdSource","resourceType","dataSubtype","metadataType","assayTarget","analysisType","cellType","nucleicAcidSource","fileFormat","group","isModelSystem","isConsortiumAnalysis","isMultiSpecimen","createdOn","createdBy","parentId","currentVersion","benefactorId","projectId","modifiedOn","modifiedBy","dataFileHandleId","metaboliteType","chromosome","modelSystemType","libraryPrep","dataFileSizeBytes"
"28545760","2","c24befd8-0d82-4db9-82ea-ff958319be9f","syn28545760","LBP_individual_metadata.csv","[""LBP""]","[""clinical""]",,,,"[""Human""]",,"CDCP","[""GCO18-0632""]",,,,,,,"metadata",,"individual",,,,,"csv",,"false",,"true","1648502786380","3444109","syn27127033","2","syn26337520","syn2580853","1652981117519","3420438","95351293",,,,,"27969"
"28545761","2","79df4326-d9fb-40e0-8eba-c6f0cda3f798","syn28545761","LBP_biospecimen_metadata.csv","[""LBP""]","[""clinical""]",,,,"[""Human""]",,"CDCP","[""GCO18-0632""]",,,,,,,"metadata",,"biospecimen",,,,,"csv",,"false",,"true","1648502787318","3444109","syn27127033","2","syn26337520","syn2580853","1652981100120","3420438","95351287",,,,,"57676"
"28545762","2","00f3bb47-dab5-4ae2-95b3-cb889192c021","syn28545762","LBP_assay_RNAseq_metadata.csv","[""LBP""]","[""geneExpression""]","[""rnaSeq""]",,,"[""Human""]",,"CDCP","[""GCO18-0632""]",,,,,,,"metadata",,"assay",,,,,"csv",,"false",,"true","1648502788176","3444109","syn27127033","2","syn26337520","syn2580853","1652981084146","3420438","95351275",,,,,"66001"
"29783831","1","a71afb7d-63d0-48cf-864f-b37471fe6d3f","syn29783831","LBPSEMA4BRAIN518_run1_S55_L001_R1_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996471684","3444109","syn27127036","1","syn26337520","syn2580853","1652986167987","3420438","95354543",,,,"rRNAdepletion","689879550"
"29783832","1","eefc06d7-6a34-4365-860e-0b8291b177cd","syn29783832","LBPSEMA4BRAIN518_run1_S55_L001_R2_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996473439","3444109","syn27127036","1","syn26337520","syn2580853","1652986168866","3420438","95354546",,,,"rRNAdepletion","722182858"
"29783833","1","ba8caa37-2e5a-45dd-acbd-2b0085d377a8","syn29783833","LBPSEMA4BRAIN518_run1_S55_L002_R1_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996475174","3444109","syn27127036","1","syn26337520","syn2580853","1652986169778","3420438","95354548",,,,"rRNAdepletion","699499222"
"29783834","1","fccc760a-c1d0-4681-abfa-db97bada2e9f","syn29783834","LBPSEMA4BRAIN518_run1_S55_L002_R2_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996476931","3444109","syn27127036","1","syn26337520","syn2580853","1652986170869","3420438","95354551",,,,"rRNAdepletion","729815474"
"29783836","1","51116538-73ed-41a1-be19-2023c19e3a4f","syn29783836","LBPSEMA4BRAIN518_run1_S55_L003_R1_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996478639","3444109","syn27127036","1","syn26337520","syn2580853","1652986171909","3420438","95354552",,,,"rRNAdepletion","700724372"
"29783839","1","2af375cd-7006-4e16-855d-d6f760057d6d","syn29783839","LBPSEMA4BRAIN518_run1_S55_L003_R2_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996480396","3444109","syn27127036","1","syn26337520","syn2580853","1652986172796","3420438","95354555",,,,"rRNAdepletion","732091076"
"29783841","1","caf2336f-fca4-4d60-aada-594bff2f3f1b","syn29783841","LBPSEMA4BRAIN518_run1_S55_L004_R1_001.fastq.gz","[""LBP""]","[""geneExpression""]","[""rnaSeq""]","brain","[""dorsolateral prefrontal cortex""]","[""Human""]","[""male""]","CDCP","[""GCO18-0632""]",,,"LBPSEMA4BRAIN518","HBDK_17_002_FC",,,"experimentalData","raw",,,,,"bulk cell","fastq",,"false",,"false","1650996482159","3444109","syn27127036","1","syn26337520","syn2580853","1652986173814","3420438","95354556",,,,"rRNAdepletion","705938626"
